teamID,yearID,total_payroll,winning_pct,franchID,W,G
SDN,1996,28348172,56.17283951,SDP,91,162
SFN,1996,37144725,41.97530864,SFG,68,162
SLN,1996,40269667,54.32098765,STL,88,162
ANA,1997,31135472,51.85185185,ANA,84,162
BAL,1997,58516400,60.49382716,BAL,98,162
BOS,1997,43558750,48.14814815,BOS,78,162
CHA,1997,57740000,49.68944099,CHW,80,161
CLE,1997,56802460,53.41614907,CLE,86,161
DET,1997,17272000,48.7654321,DET,79,162
KCA,1997,34655000,41.61490683,KCR,67,161
MIN,1997,34072500,41.97530864,MIN,68,162
ML4,1997,23655338,48.44720497,MIL,78,161
NYA,1997,62241545,59.25925926,NYY,96,162
OAK,1997,24018500,40.12345679,OAK,65,162
SEA,1997,41540661,55.55555556,SEA,90,162
TEX,1997,53448838,47.5308642,TEX,77,162
TOR,1997,47079833,46.91358025,TOR,76,162
ATL,1997,52278500,62.34567901,ATL,101,162
CHN,1997,42155333,41.97530864,CHC,68,162
CIN,1997,49768000,46.91358025,CIN,76,162
COL,1997,43559667,51.2345679,COL,83,162
FLO,1997,48692500,56.79012346,FLA,92,162
HOU,1997,34777500,51.85185185,HOU,84,162
LAN,1997,45380304,54.32098765,LAD,88,162
MON,1997,19295500,48.14814815,WSN,78,162
NYN,1997,39800400,54.32098765,NYM,88,162
PHI,1997,36656500,41.97530864,PHI,68,162
PIT,1997,10771667,48.7654321,PIT,79,162
SDN,1997,37363672,46.91358025,SDP,76,162
SFN,1997,35592378,55.55555556,SFG,90,162
SLN,1997,45456667,45.0617284,STL,73,162
ANA,1998,41281000,52.4691358,ANA,85,162
BAL,1998,72355634,48.7654321,BAL,79,162
BOS,1998,56757000,56.79012346,BOS,92,162
CHA,1998,38335000,49.0797546,CHW,80,163
CLE,1998,60800166,54.9382716,CLE,89,162
DET,1998,24065000,40.12345679,DET,65,162
KCA,1998,36862500,44.72049689,KCR,72,161
MIN,1998,27927500,43.20987654,MIN,70,162
NYA,1998,66806867,70.37037037,NYY,114,162
OAK,1998,21303000,45.67901235,OAK,74,162
SEA,1998,54087036,47.20496894,SEA,76,161
TBA,1998,27280000,38.88888889,TBD,63,162
TEX,1998,56572095,54.32098765,TEX,88,162
TOR,1998,51376000,53.98773006,TOR,88,163
ARI,1998,32347000,40.12345679,ARI,65,162
ATL,1998,61186000,65.43209877,ATL,106,162
CHN,1998,50838000,55.21472393,CHC,90,163
CIN,1998,23005000,47.5308642,CIN,77,162
COL,1998,50484648,47.5308642,COL,77,162
FLO,1998,41322667,33.33333333,FLA,54,162
HOU,1998,42374000,62.96296296,HOU,102,162
LAN,1998,48820000,51.2345679,LAD,83,162
MIL,1998,33914904,45.67901235,MIL,74,162
MON,1998,10641500,40.12345679,WSN,65,162
NYN,1998,52077999,54.32098765,NYM,88,162
PHI,1998,36297500,46.2962963,PHI,75,162
PIT,1998,15065000,42.33128834,PIT,69,163
SDN,1998,46861500,60.49382716,SDP,98,162
SFN,1998,42565834,54.60122699,SFG,89,163
SLN,1998,54672521,50.9202454,STL,83,163
ANA,1999,55388166,43.20987654,ANA,70,162
BAL,1999,80605863,48.14814815,BAL,78,162
BOS,1999,63497500,58.02469136,BOS,94,162
CHA,1999,25620000,46.2962963,CHW,75,162
CLE,1999,72978462,59.87654321,CLE,97,162
DET,1999,36489666,42.85714286,DET,69,161
KCA,1999,26225000,39.7515528,KCR,64,161
MIN,1999,21257500,39.13043478,MIN,63,161
NYA,1999,86734359,60.49382716,NYY,98,162
OAK,1999,24431833,53.7037037,OAK,87,162
SEA,1999,54125003,48.7654321,SEA,79,162
TBA,1999,38870000,42.59259259,TBD,69,162
TEX,1999,76709931,58.64197531,TEX,95,162
TOR,1999,45444333,51.85185185,TOR,84,162
ARI,1999,68703999,61.72839506,ARI,100,162
ATL,1999,73140000,63.58024691,ATL,103,162
CHN,1999,62343000,41.35802469,CHC,67,162
CIN,1999,33962761,58.89570552,CIN,96,163
COL,1999,61935837,44.44444444,COL,72,162
FLO,1999,21085000,39.50617284,FLA,64,162
HOU,1999,54914000,59.87654321,HOU,97,162
LAN,1999,80862453,47.5308642,LAD,77,162
MIL,1999,43377395,45.96273292,MIL,74,161
MON,1999,17903000,41.97530864,WSN,68,162
NYN,1999,65092092,59.50920245,NYM,97,163
PHI,1999,31692500,47.5308642,PHI,77,162
PIT,1999,24697666,48.44720497,PIT,78,161
SDN,1999,49768179,45.67901235,SDP,74,162
SFN,1999,46595057,53.08641975,SFG,86,162
SLN,1999,49778195,46.58385093,STL,75,161
ANA,2000,51464167,50.61728395,ANA,82,162
BAL,2000,81447435,45.67901235,BAL,74,162
BOS,2000,77940333,52.4691358,BOS,85,162
CHA,2000,31133500,58.64197531,CHW,95,162
CLE,2000,75880771,55.55555556,CLE,90,162
DET,2000,58265167,48.7654321,DET,79,162
KCA,2000,23433000,47.5308642,KCR,77,162
